Lifespan,partType,microstructure,coolingRate,quenchTime,forgeTime,smallDefects,largeDefects,sliverDefects,seedLocation,castType
1818.040455755639,Block,equiGrain,7,2.3017817572941666,1.2889341977968043,0,0,0,Top,Continuous
1799.2323746811849,Valve,singleGrain,12,0.6422395110401955,8.492969408692757,12,0,0,Top,Continuous
1688.8805009507637,Blade,colGrain,13,0.7889655870907086,5.504683145693984,12,0,0,Bottom,Continuous
2195.7696022302034,Block,equiGrain,14,3.858213965666901,8.061641268233808,8,0,0,Top,Die
1610.9174180629147,Nozzle,colGrain,20,2.324098360533401,2.795681609904554,20,3,0,Bottom,Die
504.7800099974763,Blade,singleGrain,28,2.491609106118741,6.114402077959228,22,0,0,Bottom,Continuous
1053.4349526849585,Blade,equiGrain,20,3.999944911558244,3.195820613504045,16,0,0,Bottom,Investment
1120.1853456765916,Valve,colGrain,22,2.181929892084077,2.1384067736688968,17,0,0,Top,Investment
919.0002418757574,Block,colGrain,30,3.945981951373689,3.062727072916024,19,0,0,Bottom,Continuous
1686.3075462080474,Valve,singleGrain,5,3.844925903417519,4.052175087872245,1,0,0,Bottom,Investment
1494.708142480792,Nozzle,singleGrain,22,1.0106116124613598,8.807049731981975,19,0,0,Top,Continuous
218.5743587963085,Blade,equiGrain,28,0.988897347204744,2.755521678812821,21,0,0,Top,Continuous
1029.332728836992,Nozzle,singleGrain,26,2.2900322342031143,8.70109221750019,21,0,0,Bottom,Die
1531.4345061167508,Block,equiGrain,18,4.967431272820502,1.343155502419609,18,0,0,Top,Continuous
2111.3394722583557,Nozzle,equiGrain,12,2.6610175056576115,8.534408227714266,10,1,0,Bottom,Continuous
147.2842877501979,Blade,equiGrain,29,0.5765263433442231,7.949517512058752,27,0,0,Top,Continuous
1860.3185594965607,Nozzle,colGrain,13,2.491043464025528,6.517548921981966,10,0,0,Top,Investment
1603.780534221419,Blade,colGrain,15,1.5922542915141709,1.7066981704678996,10,0,0,Top,Die
1835.507637367676,Nozzle,equiGrain,7,2.024706884194466,9.614266167285775,1,0,0,Bottom,Continuous
730.1362205393399,Valve,colGrain,24,3.918265979054223,6.994979684631399,22,0,0,Bottom,Continuous
1409.6272897946974,Nozzle,equiGrain,21,4.605133400013661,8.143380964883924,13,0,0,Top,Investment
1346.4931444610595,Valve,singleGrain,16,1.1667429458609375,6.2145520580879765,20,0,0,Top,Die
696.9772627484878,Valve,colGrain,24,2.525641128186777,5.1013688623324605,21,0,0,Top,Continuous
1308.7694616142137,Blade,colGrain,8,0.5396092682231366,5.529802535908098,2,0,0,Top,Continuous
633.2027140126921,Valve,equiGrain,30,4.786953961744577,7.988851372082476,13,0,0,Bottom,Die
